msg_id,mensaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Mama,te,amo,eres,de,lo,mejor,que,tengo,en,la,vida,y,te,extrano,de,una,manera,inimaginable,Eres,la,mejor,mama,del,mundo,mundial,y,eres,mi,mama,nunca,voy,a,terminar,de,agradecer,por,mi,buena,suerte,por,el,simple,hecho,de,tenerte,Feliz,Cumpleanos,te,deseo,lo,mejor,del,mundo,Vive,se,feliz,y,no,cambies,esa,luz,que,te,caracteriza,SARAGHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mi,Adoracion,te,mando,este,presente,por,el,gran,amor,que,te,tengo,siempre,tuyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Feliz,dia,de,las,madres,a,la,mejor,Love,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Querida,mamita:,Baila,canta,rie,goza,y,recibe,todos,los,abrazos,que,tenemos,para,ti,Hoy,mas,que,nunca,festeja,el,hecho,de,que,existes,Feliz,Cumpleanos,#60,mamita,linda,Mi,deseo,de,cumpleanos,para,ti,en,este,dia,tan,especial,es,que,sigas,amando,la,vida,y,que,nunca,dejes,de,sonar,Te,amamos,tus,nietas,y,yo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Para,la,mama,suegrita,y,abuelita,mas,linda,Deseamos,que,Dios,le,siga,regalando,muchas,alegrias,momentos,en,familia,y,calor,de,hogar,que,su,camino,sea,siempre,lleno,de,luz,y,felicidad,nos,encanta,ver,lo,mucho,que,disfruta,esta,etapa,de,abuelita,que,vengan,muchos,anos,mas,La,queremos,Mucho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,No,puedo,sacarte,de,mi,mente,Constantemente,sueno,con,verte,y,es,que,conocerte,no,me,fue,indiferente,Que,tengas,un,excelente,inicio,de,semana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Los,cumpleanos,significan,un,nuevo,comienzo,un,tiempo,para,mirar,hacia,atras,con,gratitud,por,las,bendiciones,de,otro,ano,Tambien,es,un,tiempo,para,mirar,hacia,adelante,con,esperanzas,renovadas,Feliz,cumpleanos,Te,quiero,Mucho,Pris,Hermosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FELIZ,CUMPLE,(UN,POCO,TARDE),TE,MANDO,UN,FUERTE,ABRAZO,QUE,ESTE,AnO,DE,VIDA,SEA,MUCHO,MEJOR,PD,AL,TOMARTE,CADA,UNA,DE,LAS,CERVEZAS,TE,ACUERDAS,DE,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Se,que,hemos,pasado,momentos,malos,y,buenos,pero,el,amor,incondicional,que,te,tengo,es,sincero,estos,8,anos,han,sido,los,mejores,de,mi,vida,y,gracias,por,nuestras,2,hermosas,hijas,que,tenemos,TE,AMO,Feliz,aniversario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
